reference_mode,variant,glyph_id,body,style_support_count,style_groups,occurrence_count,font_count,file_count,conflict,conflict_detail
variant_gid,Z,2753,ㄒㄧㄝ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2756,ㄗㄨ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2757,ㄒㄩㄢ,1,KAICHU_MD,3,1,1,N,
variant_gid,Z,2761,ㄨㄢ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,10,3,4,N,
variant_gid,Z,2768,ㄨㄤ,2,BIAOKAI_W5|KAICHU_MD,6,2,2,N,
variant_gid,Z,2770,ㄊㄧ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2775,ㄊㄨㄥ,1,KAICHU_MD,3,1,1,N,
variant_gid,Z,2781,ㄑㄧ,2,BIAOKAI_W5|KAICHU_MD,5,2,2,N,
variant_gid,Z,2782,ㄙㄨㄛ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2786,ㄊㄧㄠ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,8,4,4,N,
variant_gid,Z,2797,ㄌㄧㄤ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2798,ㄔㄨㄣ,2,BIAOKAI_W5|HEI_W7,9,2,1,N,
variant_gid,Z,2804,ㄊㄧㄢ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2806,ㄑㄧㄥ,3,HEI_W7|KAICHU_MD|YUAN_W3W5,11,3,5,N,
variant_gid,Z,2807,ㄑㄧ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2808,ㄌㄧㄣ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2809,ㄧㄚ,1,HEI_W7,1,1,1,N,
variant_gid,Z,2815,ㄏㄨㄣ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2825,ㄕㄣ,3,BIAOKAI_W5|HEI_W7|KAICHU_MD,4,3,2,N,
variant_gid,Z,2827,ㄐㄧㄥ,2,KAICHU_MD|YUAN_W3W5,3,2,2,N,
variant_gid,Z,2835,ㄧㄢ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2840,ㄑㄧㄢ,1,KAICHU_MD,4,1,2,N,
variant_gid,Z,2842,ㄘㄞ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2850,ㄑㄧㄡ,2,BIAOKAI_W5|KAICHU_MD,108,2,7,N,
variant_gid,Z,2851,ㄌㄧ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,21,5,4,N,
variant_gid,Z,2852,ㄒㄧㄢ,4,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W7,28,4,7,N,
variant_gid,Z,2855,ㄆㄧㄥ,1,KAICHU_MD,4,1,3,N,
variant_gid,Z,2857,ㄊㄧㄢ,1,BIAOKAI_W5,3,1,1,N,
